Artist,Album,Author,Date,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10,Genre 11,Genre 12,Genre 13,Genre 14,Genre 15,Genre 16,Genre 17,Genre 18,Genre 19,Genre 20,Genre 21,Genre 22,Rating,DR Score,Label,Comments
Necrophobic,Dawn of the Damned,Holdeneye,"October 11, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,4,6,Century Media,64
Hellripper,The Affair of the Poisons,El Cuervo,"October 10, 2020",Black Metal,Speed Metal,,,,,,,,,,,,,,,,,,,,,4,5,Peaceville Records,62
Neck Cemetery,Born in a Coffin,Holdeneye,"October 9, 2020",Heavy Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Reaper Entertainment,67
Gorephilia,In the Eye of Nothing,Ferrous Beuller,"October 9, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Dark Descent Records,22
Transcendence,Towards Obscurities Beyond,Eldritch Elitist,"October 9, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,1.5,10,Blood Harvest Records,18
Yatra,All is Lost,GardensTale,"October 8, 2020",Doom Metal,Sludge,Stoner Metal,,,,,,,,,,,,,,,,,,,,3,5,Grimoire Records,10
Invernoir,The Void and the Unbearable Loss,Cherd of Doom,"October 8, 2020",Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,3,7,BadMoodMan Records,27
Somnus Throne,Somnus Throne,Steel Druhm,"October 8, 2020",Doom Metal,,,,,,,,,,,,,,,,,,,,,,2.5,9,Burning World Records,5
Helion Prime,Question Everything,Eldritch Elitist,"October 7, 2020",Power Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Self-Released,25
Onirik,The Fire Cult Beyond Eternity,Dr. A.N. Grier,"October 7, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3.5,7,"I, Voidhanger Records",29
Neander,eremit,Doom_et_Al,"October 7, 2020",Doom Metal,Post-Metal,,,,,,,,,,,,,,,,,,,,,3.5,9,Through Love Records,16
Rise to the Sky,Death Will Not Keep Us Apart,Twelve,"October 6, 2020",Doom Metal,,,,,,,,,,,,,,,,,,,,,,3.5,5,GS Productions,13
Lik,Misanthropic Breed,Diabolus in Muzaka,"October 6, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Metal Blade Records,26
Scaphoid,Absent Passages,TheKenWord,"October 6, 2020",Instrumental Metal,Post-Metal,Progressive Metal,Progressive Rock,,,,,,,,,,,,,,,,,,,2.5,8,Shunu Records,44
Empress,Premonition,Carcharodon,"October 5, 2020",Post-Metal,Progressive Metal,Sludge,,,,,,,,,,,,,,,,,,,,3.5,6,Petrichor Records,17
Nightmare,Aeternam,Holdeneye,"October 5, 2020",Hard Rock,Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,,3,7,AFM Records,28
Harmonize,Warrior in the Night,Steel Druhm,"October 5, 2020",Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,,,1,,Self-Released,72
Scordatura,Mass Failure,Eldritch Elitist,"October 4, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,4,Gore House Productions,14
Arcade Messiah,The Host,Dr. A.N. Grier,"October 4, 2020",Progressive Metal,Progressive Rock,,,,,,,,,,,,,,,,,,,,,4,9,Self-Released,27
Miasmal Sabbath,Ominous Radiance,Felagund,"October 3, 2020",Crust Punk,Death Metal,,,,,,,,,,,,,,,,,,,,,2,5,Unholy Prophecies,20
Sacred Outcry,Damned for All Time,Twelve,"October 3, 2020",Power Metal,,,,,,,,,,,,,,,,,,,,,,3.5,9,No Remorse Records,26
Enslaved,Utgard,Dr. A.N. Grier,"October 2, 2020",Progressive Metal,Progressive Rock,Viking Metal,,,,,,,,,,,,,,,,,,,,2,8,Nuclear Blast,146
Amiensus,Abreaction,Emya,"October 2, 2020",,,,,,,,,,,,,,,,,,,,,,,3.5,8,Transcending Obscurity Records,28
Monsterworks,Malignment,Huck N Roll,"October 2, 2020",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,3,11,Eat Lead and Die Music,14
Brave the Cold,Scarcity,Steel Druhm,"October 1, 2020",Death Metal,Grind,,,,,,,,,,,,,,,,,,,,,3,5,Mission Two Entertainment,42
Kataklysm,Unconquered,Diabolus in Muzaka,"October 1, 2020",Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,2.5,6,Nuclear Blast,50
Synthetic,Clepsydra: Time Against Infinity,GardensTale,"October 1, 2020",Melodic Death Metal,Metalcore,,,,,,,,,,,,,,,,,,,,,2,7,ROAR! Rock of Angels Records,18
B R I Q U E V I L L E,Quelle,Carcharodon,"September 30, 2020",Instrumental Metal,Post-Metal,,,,,,,,,,,,,,,,,,,,,3.5,5,Pelagic Records,23
Skeletoon,Nemesis,Holdeneye,"September 30, 2020",Power Metal,,,,,,,,,,,,,,,,,,,,,,3.5,8,Scarlet Records,94
Ascian,Elysion,TheKenWord,"September 30, 2020",Doom Metal,,,,,,,,,,,,,,,,,,,,,,4,9,MDD Records,37
Six Feet Under,Nightmares of the Decomposed,Ferrous Beuller,"September 29, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,1,6,Metal Blade Records,144
Second to Sun,Leviathan,Dr. A.N. Grier,"September 29, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,3.5,7,Self-Released,30
Toadeater,Bit To Ewigen Daogen,Dear Hollow,"September 29, 2020",Atmospheric Black Metal,Black Metal,,,,,,,,,,,,,,,,,,,,,2.5,9,Revolvermann Records,27
Anaal Nathrakh,Endarkenment,Grymm,"September 28, 2020",Black Metal,Grind,Industrial Metal,,,,,,,,,,,,,,,,,,,,4,5,Metal Blade Records,131
Madrost,Charring the Rotting Earth,L. Saunders,"September 28, 2020",Progressive Death,Thrash Metal,,,,,,,,,,,,,,,,,,,,,3,8,No Life ’til Metal Records,17
Hittman,Destroy All Humans,Steel Druhm,"September 27, 2020",Heavy Metal,,,,,,,,,,,,,,,,,,,,,,,,,46
Uada,Djinn,El Cuervo,"September 25, 2020",Melodic Black Metal,,,,,,,,,,,,,,,,,,,,,,3,4,Eisenwald Records,110
Vous Autres,Sel de Pierre,Dr. A.N. Grier,"September 25, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Season of Mist,28
The Reticent,The Oubliette,Huck N Roll,"September 25, 2020",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,3.5,8,Heaven & Hell Records,64
Infesticide,Envenoming Wounds,Diabolus in Muzaka,"September 24, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Blood Harvest Records,12
Ayreon,Transitus,sentynel,"September 24, 2020",Power Metal,Progressive Metal,Progressive Rock,,,,,,,,,,,,,,,,,,,,3.5,9,Music Theories Recordings,88
Mindwars,The Fourth Turning,Steel Druhm,"September 24, 2020",Thrash Metal,,,,,,,,,,,,,,,,,,,,,,3,10,Dissonance Productions,51
Svalbard,"When I Die, Will I Get Better?",Dear Hollow,"September 23, 2020",Black Metal,Post-Hardcore,Post-Metal,,,,,,,,,,,,,,,,,,,,4,6,Translation Loss Records,53
Laser Dracul,Hagridden,Carcharodon,"September 23, 2020",Stoner,,,,,,,,,,,,,,,,,,,,,,2.5,7,Majestic Mountain Records,16
Dynfari,Myrkurs er porf,Doom_et_Al,"September 22, 2020",Post-Metal,,,,,,,,,,,,,,,,,,,,,,3.5,8,Code666 Records,10
Sammas’ Equinox,Tulikehrät,TheKenWord,"September 23, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,2,8,Signal Rex,11
Ambassador,Care Vale,GardensTale,"September 22, 2020",Hard Rock,Post-Metal,,,,,,,,,,,,,,,,,,,,,3.5,5,Self-Released,46
Just Before Dawn,An Army at Dawn,Steel Druhm,"September 22, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Raw Skull Recordz,18
Hark From The Tomb,Let Them Die,Felagund,"September 21, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,2.5,6,Self-Released,18
Proscription,Conduit,Dear Hollow,"September 21, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,3,6,Dark Descent Records,7
Blackevil,Forever Baptised in Eternal Fire,Holdeneye,"September 21, 2020",Black Metal,Speed Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,4,8,Dying Victims Productions,84
Memories of Old,The Zeramin Game,Emya,"September 20, 2020",,,,,,,,,,,,,,,,,,,,,,,3.5,6,Self-Released,33
Evoke,Seeds of Death,Steel Druhm,"September 19, 2020",Speed Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,,3,7,Pulverised Records,15
Ragehammer,Into Certain Death,Diabolus in Muzaka,"September 19, 2020",Black Metal,Speed Metal,,,,,,,,,,,,,,,,,,,,,3.5,7,Pagan Records,18
Napalm Death,Throes of Joy in the Jaws of Defeatism,Ferrous Beuller,"September 18, 2020",Death Metal,Grind,,,,,,,,,,,,,,,,,,,,,3,5,Century Media,51
Finntroll,Vredesvävd,Dr. Wvrm,"September 18, 2020",,,,,,,,,,,,,,,,,,,,,,,3.5,6,Century Media,67
The Progressive Souls Collective,Sonic Birth,GardensTale,"September 17, 2020",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,2,6,Metalville,18
Illkynja,Sæti Sálarinnar,Dear Hollow,"September 18, 2020",Atmospheric Black Metal,Black Metal,,,,,,,,,,,,,,,,,,,,,3,7,Goathorned Productions,14
Plague Years,Circle of Darkness,Holdeneye,"September 17, 2020",Hardcore,Thrash Metal,,,,,,,,,,,,,,,,,,,,,3.5,5,Entertainment One,52
Hrae,Par sem skepnur reika,Doom_et_Al,"September 17, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3.5,7,Goathorned Productions,34
Raven,Metal City,Huck N Roll,"September 16, 2020",Heavy Metal,NWOBHM,,,,,,,,,,,,,,,,,,,,,2.5,5,Steamhammer,38
Skeletal Remains,The Entombment of Chaos,L. Saunders,"September 16, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Century Media,27
The Ocean,Phanerozoic II: Mesozoic | Cenozoic,Dr. A.N. Grier,"September 16, 2020",Post-Hardcore,Progressive Metal,,,,,,,,,,,,,,,,,,,,,3.5,7,Metal Blade Records,48
Regardless of Me,Black Flowers Blossom,El Cuervo,"September 15, 2020",Melodic Death Metal,Synthwave,,,,,,,,,,,,,,,,,,,,,0.5,4,Boersma Records,38
Vardan,Dark and Desolated March,Dr. A.N. Grier,"September 15, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,2,7,Moribund Records,21
Sunken,Livslede,Twelve,"September 15, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,4,8,Vendetta Records,25
Carnation,Where Death Lies,TheKenWord,"September 14, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Season of Mist,33
Fires in the Distance,Echoes from Deep November,Steel Druhm,"September 14, 2020",Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Prosthetic Records,20
Void Rot,Descending Pillars,Cherd of Doom,"September 14, 2020",Death Metal,Doom Metal,Death Metal,,,,,,,,,,,,,,,,,,,,2.5,10,Sentient Ruin Laboratories,28
Exist,Egoiista,Huck N Roll,"September 12, 2020",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Prosthetic Records,13
Over The Voids,Hadal,Akerblogger,"September 12, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,2.5,8,Nordvis Produktion,6
Poema Arcanvs,Stardust Solitude,Steel Druhm,"September 11, 2020",Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,2.5,6,Transcending Obscurity Records,22
En Minor,When the Cold Truth Has Worn Its Miserable Welcome Out,Twelve,"September 11, 2020",Not Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Season of Mist,41
Burial Remains,Spawn of Chaos,Holdeneye,"September 11, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,10,Raw Skull Recordz,47
Dark Rites,The Dark Hymns,Felagund,"September 10, 2020",Melodic Death Metal,Metalcore,,,,,,,,,,,,,,,,,,,,,2,8,Brutal Records,48
Winter’s Verge,The Ballad of James Tig,Twelve,"September 10, 2020",Power Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Pride & Joy Music,9
Morwinyon,Pristine,Dear Hollow,"September 10, 2020",Atmospheric Black Metal,Black Metal,,,,,,,,,,,,,,,,,,,,,2.5,9,Naturmacht Productions,13
Aborted Fetus,Pyramids of Damnation,Diabolus in Muzaka,"September 9, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,1.5,4,Comatose Music,61
Theotoxin,Fragment: Erhabenheit,Holdeneye,"September 9, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,3.5,6,Art of Propaganda Records,14
Night,High Tides – Distant Skies,Huck N Roll,"September 9, 2020",Hard Rock,Retro Metal,,,,,,,,,,,,,,,,,,,,,3,8,The Sign Records,17
Tomorrow’s Rain,Hollow,Grymm,"September 8, 2020",Gothic Metal,,,,,,,,,,,,,,,,,,,,,,2,4,AOP Records,16
Raventale,Planetarium II,Steel Druhm,"September 8, 2020",Black Metal,Doom Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,4,6,Ashen Dominion,27
Jupiterian,Protosapien,Carcharodon,"September 8, 2020",Sludge,,,,,,,,,,,,,,,,,,,,,,3,8,Transcending Obscurity Records,16
Katavasia,Magnus Venator,Akerblogger,"September 7, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Floga Records,13
Intercepting Pattern,The Encounter,Kronos,"September 7, 2020",Death Metal,Djent,Progressive Metal,,,,,,,,,,,,,,,,,,,,4,7,Rising Nemesis Records,45
Psychosomatic,The Invisible Prison,Dr. A.N. Grier,"September 6, 2020",Thrash Metal,,,,,,,,,,,,,,,,,,,,,,2,5,Nefarious Industries,6
Válvera,Cycle of Disaster,Holdeneye,"September 6, 2020",Groove Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,,2.5,5,Brutal Records,9
Cult of Lilith,Mara,GardensTale,"September 5, 2020",Death Metal,Deathcore,Progressive Metal,,,,,,,,,,,,,,,,,,,,3.5,6,Metal Blade Records,30
Turtle Skull,Monoliths,Dear Hollow,"September 5, 2020",Doom Metal,Drone,Post-Metal,Progressive Rock,Psychedelic Rock,Stoner Rock,,,,,,,,,,,,,,,,,3,8,Art As Catharsis,9
Idiot Robot,Idiot Robot,TheKenWord,"September 4, 2020",,,,,,,,,,,,,,,,,,,,,,,1,6,Dead Games Records,69
Eave,Phantoms Made Permanent,Carcharodon,"September 4, 2020",,,,,,,,,,,,,,,,,,,,,,,3.5,10,Bindrune Recordings,17
Thurisaz,Re-Incentive,Emya,"September 3, 2020",Atmospheric Black Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Self-Released,24
The Glorious Dead,Into Lifeless Shrines,Steel Druhm,"September 3, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,,,14
Dunwich,Tail-Tied Hearts,GardensTale,"September 3, 2020",Doom Metal,Gothic Metal,,,,,,,,,,,,,,,,,,,,,3.5,,Caligari Records,56
Hymn,Breach Us,Cherd of Doom,"September 2, 2020",Sludge,,,,,,,,,,,,,,,,,,,,,,3,6,Fysisk Format,12
Svederna,Härd,Akerblogger,"September 2, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Carnal Records,13
Oceans of Slumber,Oceans of Slumber,Huck N Roll,"September 2, 2020",Doom Metal,Melodic Death Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,4,6,Century Media,56
Begrafven,Dödsriket,Doom_et_Al,"August 31, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Unexploded Records,24
Núll,Entity,Grymm,"August 31, 2020",Doom Metal,,,,,,,,,,,,,,,,,,,,,,2,10,Van Records,22
Idolatria,Tetrabestiarchy,Dear Hollow,"August 31, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,3.5,12,Signal Rex,13
Venomous Concept,Politics Versus the Erection,L. Saunders,"August 30, 2020",Grind,,,,,,,,,,,,,,,,,,,,,,3.5,6,Season of Mist,18
Duma,Duma,Roquentin,"August 30, 2020",Drone,Electronica Metal,Electronica Metal,Experimental Metal,Grind,Not Metal,,,,,,,,,,,,,,,,,3.5,10,Nyege Nyege Tapes,23
Ulver,Flowers of Evil,El Cuervo,"August 29, 2020",Synthwave,,,,,,,,,,,,,,,,,,,,,,3,11,House of Mythology,51
Panzerfaust,The Suns of Perdition – Chapter II: Render unto Eden,Carcharodon,"August 28, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,4.5,6,Eisenwald Records,117
Aleynmord,The Blinding Light,Twelve,"August 28, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Art of Propaganda Records,21
Manticora,To Live to Kill to Live,Eldritch Elitist,"August 28, 2020",Black Metal,Death Metal,Power Metal,Progressive Metal,Thrash Metal,,,,,,,,,,,,,,,,,,4,6,ViciSolum Productions,37
Pain of Salvation,Panther,Huck N Roll,"August 27, 2020",Progressive Rock,,,,,,,,,,,,,,,,,,,,,,3,8,InsideOut,112
The Atomic Bitchwax,Scorpio,GardensTale,"August 27, 2020",Hard Rock,Stoner Metal,,,,,,,,,,,,,,,,,,,,,3.5,6,Teepee Records,9
Svnth,Spring In Blue,Cherd of Doom,"August 27, 2020",Atmospheric Black Metal,Post-Metal,,,,,,,,,,,,,,,,,,,,,3,10,Transcending Obscurity Records,21
Night Laser,Power to Power,Steel Druhm,"August 26, 2020",Glam Metal,Hair Metal,Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,1.5,6,Out of Line Music,24
Vanishing Point,Dead Elysium,Steel Druhm,"August 26, 2020",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,3,6,AFM Records,12
Almanac,Tsar,Angry Metal Guy,"August 25, 2020",Power Metal,Symphonic Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,4,5,Nuclear Blast,36
Almanac,Kingslayer,Angry Metal Guy,"August 25, 2020",Power Metal,Symphonic Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,3,5,Nuclear Blast,36
Almanac,Rush of Death,Angry Metal Guy,"August 25, 2020",Power Metal,Symphonic Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,3.5,5,Nuclear Blast,36
Cytotoxin,Nuklearth,TheKenWord,"August 26, 2020",Death Metal,Technical Death Metal,,,,,,,,,,,,,,,,,,,,,4,7,Unique Leader Records,51
Assignment,Reflections,Huck N Roll,"August 25, 2020",Power Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,,2.5,6,Massacre Records,22
Wills Dissolve,Echoes and Album Premiere,GardensTale,"August 25, 2020",Death Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,,3.5,6,Hypnotic Dirge Records,0
The Devil’s Trade,The Call of the Iron Peak,TheKenWord,"August 24, 2020",Folk,,,,,,,,,,,,,,,,,,,,,,3.5,9,Season of Mist,37
Silver Knife,Unyielding/Unseeing,Akerblogger,"August 23, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Amor Fati Productions,21
The Projectionist,Under the Cruel Glow of Terror,Dear Hollow,"August 24, 2020",Black Metal,Doom Metal,Noise,Thrash Metal,,,,,,,,,,,,,,,,,,,1,11,Moribund Records,24
Volcanova,Radical Waves,Steel Druhm,"August 22, 2020",,,,,,,,,,,,,,,,,,,,,,,2.5,6,The Sign Records,14
Sound of Origin,The All Seeing Eye,Doom_et_Al,"August 22, 2020",Doom Metal,,,,,,,,,,,,,,,,,,,,,,2.5,9,APF Records,19
Incantation,Sect of Vile Divinities,Ferrous Beuller,"August 21, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Relapse Records,58
Unleash the Archers,Abyss,Dr. A.N. Grier,"August 21, 2020",Power Metal,,,,,,,,,,,,,,,,,,,,,,3.5,,Napalm Records,126
Veonity,Sorrows,Twelve,"August 21, 2020",Power Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Scarlet Records,11
Mercyless,The Mother of All Plagues,Steel Druhm,"August 20, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Xenokorp Records,11
Bedsore,Hypnagogic Hallucinations,Ferrous Beuller,"August 20, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,20 Buck Spin,29
Midgard,Tales of Kreia,Carcharodon,"August 20, 2020",Folk Metal,Power Metal,Viking Metal,,,,,,,,,,,,,,,,,,,,3,10,Sliptrick Records,24
Reasons Behind,Project: M.I.S.T.,Emya,"August 19, 2020",,,,,,,,,,,,,,,,,,,,,,,2,7,Scarlet Records,25
Next Life,Guru Meditation,TheKenWord,"August 19, 2020",Grind,Industrial Metal,Mathcore,,,,,,,,,,,,,,,,,,,,3,7,Fysisk Format,22
Havukruunu,Uinuos syömein sota,Dr. A.N. Grier,"August 19, 2020",Black Metal,Folk Metal,,,,,,,,,,,,,,,,,,,,,4,5,Naturmacht Productions,79
Self Hypnosis,Contagion of Despair,Carcharodon,"August 18, 2020",Doom Metal,Stoner Metal,,,,,,,,,,,,,,,,,,,,,3.5,7,Svart Records,7
Prosanctus Inferi,Hypnotic Blood Art,Mark Z.,"August 18, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,3.5,9,Nuclear War Now! Productions,20
Recorruptor,The Funeral Corridor,Holdeneye,"August 18, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,10,Self-Released,23
Ages,Uncrown,El Cuervo,"August 17, 2020",Melodic Black Metal,,,,,,,,,,,,,,,,,,,,,,2.5,6,Black Lodge Records,27
Atramentus,Stygian,Grymm,"August 17, 2020",,,,,,,,,,,,,,,,,,,,,,,4,8,20 Buck Spin,57
Töxik Death,Sepulchral Demons,Diabolus in Muzaka,"August 17, 2020",Speed Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,,3,9,High Roller Records,19
Awake by Design,Awake by Design,Steel Druhm,"August 15, 2020",Heavy Metal,Power Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,3,9,Self-Released,38
Siege Column,Darkside Legions,Mark Z.,"August 14, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,3.5,8,Nuclear War Now! Productions,22
Ov Shadows,I Djävulens Avbild,Dear Hollow,"August 14, 2020",Atmospheric Black Metal,Black Metal,,,,,,,,,,,,,,,,,,,,,3.5,9,Hypnotic Dirge Records,22
Bear Mace,Charred Field of Slaughter,Dr. A.N. Grier,"August 13, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,7,Self-Released,52
Titan to Tachyons,Cactides,Akerblogger,"August 13, 2020",Instrumental Metal,,,,,,,,,,,,,,,,,,,,,,2.5,10,Nefarious Industries,10
Cancer,Opioid,Twelve,"August 13, 2020",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,11,Self-Released,11
Ingested,Where Only Gods May Tread,Kronos,"August 12, 2020",Deathcore,Slam,,,,,,,,,,,,,,,,,,,,,2,5,Unique Leader Records,44
Bull Elephant,Created From Death,Huck N Roll,"August 12, 2020",Death Metal,Doom Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,3.5,7,Eat Lead and Die Music,12
deathCAVE,Smoking Mountain,Doom_et_Al,"August 12, 2020",Doom Metal,Sludge,,,,,,,,,,,,,,,,,,,,,2.5,8,Satanik Royalty Records,8
Season of Dreams,My Shelter,Holdeneye,"August 11, 2020",Power Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,,,1.5,5,Pride & Joy Music,31
Black Crown Initiate,Violent Portraits of Doomed Escape,L. Saunders,"August 11, 2020",Death Metal,Progressive Death,Progressive Metal,,,,,,,,,,,,,,,,,,,,3.5,5,Century Media,49
Nug,Alter Ego,Grymm,"August 11, 2020",Post-Metal,,,,,,,,,,,,,,,,,,,,,,3.5,5,Willowtip Records,62
Terra Atlantica,Age of Steam,TheKenWord,"August 10, 2020",Power Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,,,,2,6,Pride & Joy Music,48
Ravened,From the Depths,Carcharodon,"August 10, 2020",Groove Metal,,,,,,,,,,,,,,,,,,,,,,2,8,JONO Music,18
Howling Giant/Sergeant Thunderhoof,Turned to Stone Chapter 2: Masamune & Muramasa,Dear Hollow,"August 9, 2020",Doom Metal,Stoner Metal,Stoner Rock,,,,,,,,,,,,,,,,,,,,3,6,Ripple Music,7
Rope Sect,The Great Flood,GardensTale,"August 10, 2020",,,,,,,,,,,,,,,,,,,,,,,3.5,8,Iron Bonehead Productions,32
Lantern,Dimensions,Ferrous Beuller,"August 8, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Dark Descent Records,21
Selenseas,The Outer Limits,Twelve,"August 7, 2020",,,,,,,,,,,,,,,,,,,,,,,2,5,Rockshots Records,14
Texas Murder Crew,Everyone’s Last Breath,Diabolus in Muzaka,"August 7, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Comatose Music,16
Judicator,Let There Be Nothing,Holdeneye,"August 7, 2020",Power Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,,3.5,9,Prosthetic Records,61
The Vice,White Teeth Rebellion,GardensTale,"August 6, 2020",Hard Rock,,,,,,,,,,,,,,,,,,,,,,1.5,6,Noble Demon,45
Misery Signals,Ultraviolet,Akerblogger,"August 6, 2020",Metalcore,,,,,,,,,,,,,,,,,,,,,,2.5,6,Basick Records,20
Vassafor,To the Death,Dear Hollow,"August 6, 2020",Black Metal,Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,3,8,Iron Bonehead Productions,13
Stillbirth,Revive the Throne,El Cuervo,"August 5, 2020",Death Metal,Deathcore,,,,,,,,,,,,,,,,,,,,,2,4,Unique Leader Records,48
Temple Nightside,Pillars of Damnation,Mark Z.,"August 5, 2020",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,4,6,Iron Bonehead Productions,35
Canedy,Warrior,Steel Druhm,"August 5, 2020",Hard Rock,Heavy Metal,,,,,,,,,,,,,,,,,,,,,2.5,7,Sleaszy Rider Records,29
Scars,Predatory,Huck N Roll,"August 4, 2020",Thrash Metal,,,,,,,,,,,,,,,,,,,,,,1.5,4,Brutal Records,40
Damnation Angels,Fiber of Our Being,Dr. A.N. Grier,"August 4, 2020",Power Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,,,,3.5,6,Self-Released,28
Onslaught,Generation Antichrist,Holdeneye,"August 4, 2020",Groove Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,,3,8,AFM Records,30
Soulrot,Victims of Spiritual Warfare,Steel Druhm,"August 3, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,2.5,6,Memento Mori,11
Faceless Burial,Speciation,Kronos,"August 3, 2020",Death Metal,,,,,,,,,,,,,,,,,,,,,,4.5,7,Dark Descent Records,78
Gruppe Planet,Travel to Uncertain Grounds,Doom_et_Al,"August 3, 2020",Ambient Metal,Post-Metal,,,,,,,,,,,,,,,,,,,,,2.5,9,Lifeforce Records,5
Dystopia A.D.,Rise of the Merciless,GardensTale,"July 31, 2020",Death Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,,3.5,7,Self-Released,29
High Spirits,Hard to Stop,Steel Druhm,"July 31, 2020",Heavy Metal,NWOBHM,,,,,,,,,,,,,,,,,,,,,3,8,High Roller Records,26
Blackballed,Elephant in the Room,Dr. A.N. Grier,"July 31, 2020",Hard Rock,,,,,,,,,,,,,,,,,,,,,,3,16,Metalville,16
